Wavelength (nm),Abs (data from https://data.hpc.imperial.ac.uk/resolve/?doi=8763)
799.9832764,0.018609144
799.0108032,0.018222293
798.0032349,0.01804327
796.9951782,0.019061601
795.9868164,0.018849872
795.0127563,0.018098187
794.0036011,0.018720802
792.9939575,0.019087324
791.9840088,0.018965134
791.0084229,0.018731775
789.9976196,0.019061115
788.9863892,0.019365504
788.0097656,0.017970555
786.9977417,0.018970028
785.9854126,0.018779021
785.0075073,0.019111291
783.9943848,0.018960699
783.0158081,0.019444194
782.00177,0.018797293
780.9874878,0.019070257
780.0077515,0.019465715
778.9926147,0.01943285
778.012146,0.019316301
776.9962769,0.019550027
776.0150146,0.019503159
774.9983521,0.019622061
774.0163574,0.01980431
772.9989014,0.020156562
772.0162354,0.020147018
770.9979858,0.020213265
770.0145264,0.020090677
768.9955444,0.019474244
768.0112915,0.019547131
766.9915771,0.019613422
766.0066528,0.020084765
764.986145,0.019843299
764.0004272,0.019952185
763.0144043,0.019531345
761.9927368,0.020019135
761.0059814,0.020134898
759.9835815,0.019852214
758.9960938,0.020604473
758.0081787,0.020168873
756.9846802,0.020265499
755.9960938,0.020142706
755.0072021,0.020793488
753.9824829,0.02077277
752.9928589,0.020925159
752.0028076,0.021509301
751.0123901,0.021223491
749.9862671,0.021037359
748.9951782,0.021217186
748.0036621,0.021783566
747.0118408,0.021039452
745.9842529,0.021843992
744.9916382,0.02160228
743.9988403,0.021475056
743.0055542,0.02141759
742.0120239,0.021161521
740.9825439,0.021072194
739.9882202,0.021558616
738.9935913,0.021690574
737.9985352,0.021664996
737.0032349,0.021868194
736.0075073,0.022171071
735.0114746,0.022117708
734.0150757,0.022019034
732.9827271,0.0218453
731.9856567,0.02201296
730.9881592,0.022123318
729.9902954,0.022102809
728.9921875,0.022476749
727.9937744,0.022347033
726.9949341,0.022510637
725.9957275,0.022450825
724.9962158,0.022603013
723.9963989,0.022569774
722.9961548,0.022184419
721.9956665,0.022418851
720.994751,0.022237901
719.9935303,0.022256428
718.9919434,0.021960951
717.9900513,0.021948017
716.987793,0.022214251
715.9852905,0.021962721
714.9822998,0.022338232
714.0148315,0.022120567
713.0112915,0.022523995
712.0073242,0.022514671
711.0031128,0.022938577
709.9985962,0.022750344
708.9935913,0.022655835
707.9883423,0.022743061
706.9827271,0.022673126
706.0127563,0.022601295
705.0064697,0.022715675
703.999939,0.023476576
702.992981,0.022780187
701.9857178,0.023046605
701.0140991,0.023101665
700.0062866,0.022949167
698.9979858,0.023270495
697.9894409,0.023387456
697.0166016,0.023594059
696.0073853,0.023421196
694.9978027,0.023644842
693.987915,0.024063451
693.013855,0.02394899
692.0033569,0.024168421
690.9924927,0.023826655
690.0174561,0.024125347
689.0059814,0.02449205
687.9942017,0.024115877
686.9819946,0.024055298
686.0056763,0.024541104
684.992981,0.024448643
684.0160522,0.024662901
683.0026245,0.024254801
681.9888916,0.024558444
681.0111084,0.024401981
679.9967041,0.024285404
678.9820557,0.024676546
678.0032959,0.024533736
676.9880371,0.024749134
676.008667,0.024343388
674.9926758,0.024542419
674.0127563,0.024506593
672.9962158,0.024939412
672.015625,0.024776209
670.9984131,0.024414111
670.0172729,0.024864793
668.9994507,0.024939194
668.0176392,0.024959235
666.9992676,0.025053725
666.0169067,0.025520664
664.9978638,0.025224442
664.0149536,0.025435844
662.9952393,0.025510589
662.0116577,0.025220381
660.991394,0.025410017
660.0072632,0.025694201
658.9863892,0.025676211
658.0015869,0.02593996
657.0166016,0.026023889
655.994812,0.025720978
655.0092163,0.026378749
653.9868164,0.026033673
653.0005493,0.026058273
652.0141602,0.026040984
650.9907837,0.026212199
650.0037231,0.0263288
649.0164185,0.026290735
647.9921875,0.02603939
647.0042114,0.026120866
646.0160522,0.026291698
644.9909058,0.02650398
644.0020752,0.026488379
643.0130615,0.026467716
641.9870605,0.026991542
640.9973755,0.026482545
640.0074463,0.026362741
639.0172119,0.026775472
637.9900513,0.026642732
636.9992065,0.026916927
636.0081787,0.027070964
635.0168457,0.026905939
633.9884644,0.02725259
632.996582,0.027167292
632.0043945,0.027246278
631.0119019,0.027460873
629.9824219,0.027131774
628.9893799,0.027063664
627.9960327,0.027399385
627.0025024,0.02745227
626.008606,0.027543912
625.0144043,0.027625643
623.9832153,0.027976844
622.9885254,0.027897118
621.9935913,0.027766299
620.9983521,0.027618911
620.0028076,0.027883345
619.0070801,0.028025134
618.0109253,0.02811154
617.0146484,0.02832333
616.0180664,0.028405869
614.9842529,0.02884135
613.9870605,0.028950442
612.989624,0.029033404
611.9920044,0.02928203
610.9940186,0.029386634
609.9957886,0.029652175
608.9973145,0.029649265
607.9984741,0.02965406
606.9994507,0.029759943
606.0001831,0.030215766
605.0006104,0.030264501
604.0007935,0.030490672
603.0006714,0.030545825
602.0003662,0.030842951
600.9996338,0.030926971
599.9987793,0.030786898
598.9976196,0.03086471
597.9962158,0.031140363
596.9945068,0.031362623
595.9926147,0.031524729
594.9904175,0.031410929
593.987915,0.031550311
592.9852295,0.031436279
591.9821777,0.031456791
591.0161133,0.031702243
590.0126343,0.031734571
589.0088501,0.031628817
588.0048828,0.031362485
587.0006104,0.031679131
585.9960327,0.031453926
584.991272,0.031255372
583.9862061,0.031206749
583.0181274,0.031200547
582.0125122,0.031192509
581.0067749,0.031454399
580.0006714,0.031439982
578.9943848,0.031590343
577.987793,0.031436894
577.0182495,0.031610638
576.0111694,0.031593431
575.0039063,0.031742398
573.9962769,0.031775873
572.9884644,0.031853251
572.0177612,0.031825617
571.0094604,0.031988066
570.0008545,0.032144137
568.9920044,0.032191608
567.9829712,0.032493796
567.0110474,0.032355197
566.0014648,0.032581206
564.9916382,0.032611955
563.9815674,0.032750636
563.008728,0.032898214
561.9981689,0.032938115
560.9873657,0.033201341
560.0137939,0.033319272
559.0024414,0.03328836
557.9909058,0.033211846
557.0166626,0.033362627
556.0046997,0.03351108
554.9924316,0.03356231
554.0174561,0.033504788
553.0046997,0.033691838
551.9917603,0.033707254
551.0160522,0.033848524
550.0026245,0.033883616
548.9888916,0.033699308
548.0125122,0.033922717
546.9983521,0.033924282
545.9840088,0.03400347
545.006958,0.034037232
543.9920654,0.033928648
543.0145874,0.034021948
541.9992065,0.034223113
540.9836426,0.034156233
540.0054321,0.034251012
538.9894409,0.03443177
538.0107422,0.034409046
536.9942017,0.034586225
536.0151367,0.03459385
534.9981689,0.034732435
534.0186157,0.034625921
533.0012207,0.034816485
531.9835815,0.034956906
531.0033569,0.03506558
529.9852295,0.035049699
529.0045776,0.035212457
527.9860229,0.035427209
527.0049438,0.035467654
525.9859009,0.035648555
525.0043945,0.035803892
523.9848633,0.035759706
523.0029297,0.035998125
521.9829712,0.036115356
521.0006104,0.036300663
520.0180054,0.036488671
518.9973755,0.036463164
518.0143433,0.03658421
516.9932861,0.036902122
516.0097656,0.036895331
514.9883423,0.037147626
514.0043945,0.037128624
512.9825439,0.037435424
511.99823,0.037305392
511.0136719,0.03752372
509.9910889,0.037455287
509.0060425,0.037534755
507.9830322,0.037683174
506.9976807,0.037832379
506.0120544,0.037968218
504.9884033,0.038022604
504.0024109,0.037954066
503.0162048,0.038163956
501.9918823,0.038278807
501.0052185,0.038298342
500.0184326,0.038586646
498.9934387,0.038619947
498.006134,0.038560648
497.0187378,0.038687631
495.993103,0.039050333
495.005249,0.03888109
494.0172119,0.039082423
492.9909058,0.039087888
492.0025024,0.039297394
491.0138245,0.039456226
489.9868469,0.039532177
488.9977722,0.039607659
488.0085449,0.039785128
486.980957,0.039830949
485.991333,0.039942041
485.0014648,0.039955635
484.0113525,0.04004788
482.9830627,0.040266994
481.9925537,0.040397316
481.0018921,0.040421892
480.0109863,0.040592477
478.981781,0.040822331
477.990509,0.040995121
476.999115,0.041073419
476.0074158,0.041324083
475.0155334,0.041506927
473.9854126,0.041596826
472.993103,0.041644119
472.0006714,0.041826073
471.0080872,0.041908283
470.0151978,0.042085696
468.9840393,0.042182561
467.9908142,0.04228507
466.997406,0.042923283
466.0038452,0.043816488
465.0100403,0.044675466
464.0161133,0.045120314
462.9837036,0.045487996
461.9893494,0.045684394
460.994751,0.045822624
460.0000305,0.046165053
459.0050964,0.046865884
458.0100403,0.046753068
457.014679,0.046923041
455.9809265,0.046874449
454.9852295,0.047129262
453.9894104,0.04715408
452.9933777,0.047307439
451.9971313,0.0472425
451.0006714,0.046926588
450.0041199,0.046383414
449.0073242,0.045774356
448.010376,0.045376111
447.0132141,0.045489836
446.0158691,0.045640972
445.0184021,0.045590453
443.9822998,0.045834448
442.984436,0.045882404
441.9863892,0.046050053
440.9881287,0.045999631
439.9897156,0.04611453
438.9910583,0.046250679
437.9923401,0.046182498
436.9933777,0.046312708
435.9942627,0.046476316
434.9949036,0.046422821
433.9954224,0.046317462
432.9957581,0.046407871
431.9959412,0.046371691
430.9959106,0.046519417
429.995697,0.04655797
428.9953613,0.046588834
427.9947815,0.046709884
426.9940491,0.046760388
425.9931641,0.046842415
424.9921265,0.046950556
423.9908447,0.046970833
422.9894409,0.04719162
421.9878845,0.047396816
420.986084,0.047522567
419.9841614,0.047817841
418.9820251,0.048053376
418.0183716,0.048296701
417.0159302,0.048461728
416.0132751,0.048801754
415.010498,0.04901788
414.0075989,0.049226087
413.0044861,0.049345698
412.0011902,0.049614619
410.9977722,0.049784821
409.9941101,0.050099563
408.9902954,0.050186783
407.9863586,0.05043599
406.9822998,0.050522868
406.0166016,0.050730024
405.0121765,0.050908227
404.0075378,0.051055234
403.0027771,0.051124331
401.9978333,0.051316358
400.9927368,0.051441472
399.9874878,0.05148641
398.9820557,0.051571958
398.0151367,0.051720764
397.0093994,0.051834181
396.003479,0.052050948
394.997406,0.052334428
393.9911804,0.052643545
392.9847717,0.052851334
392.0169678,0.052998941
391.0102539,0.053050328
390.0033569,0.05331371
388.9963684,0.053500883
387.9891357,0.05354299
386.981842,0.053838402
386.013092,0.05399001
385.0054321,0.054148093
383.9976501,0.05425458
382.9896851,0.054532692
381.9815369,0.054717161
381.0120239,0.054958407
380.0036316,0.055114932
378.9950562,0.055081401
377.9863281,0.055253051
377.0162354,0.055576667
376.0072021,0.055886067
374.9980164,0.056023344
373.988678,0.056016333
373.0180054,0.056201287
372.0083618,0.056449164
370.9985657,0.056626637
369.9886169,0.056840792
369.017395,0.057073124
368.0071716,0.057342947
366.9967346,0.05766508
365.9862366,0.057793308
365.0144043,0.058111511
364.0035706,0.058449972
362.9925842,0.058432914
361.9814453,0.058525112
361.0090942,0.058943432
359.9976807,0.058998581
358.986084,0.058961518
358.0133057,0.059064981
357.0014648,0.059687633
355.9894714,0.059798099
355.0162354,0.060059246
354.0039673,0.06015851
352.9915466,0.060538232
352.0179138,0.060664009
351.005188,0.060902148
349.9923706,0.061202224
349.0183411,0.061490815
348.0052185,0.061851501
346.9919739,0.062081691
346.0175171,0.062565632
345.0039368,0.062908061
343.9902344,0.063280918
343.0154114,0.063508689
342.0014648,0.06356781
340.9873657,0.063808292
340.0121155,0.063966274
338.9977722,0.06429597
337.9832153,0.064538956
337.0075989,0.064748012
335.9928284,0.06501095
335.0169678,0.06513457
334.0018921,0.065437943
332.9866943,0.065670796
332.0104065,0.06599573
330.9949646,0.066034459
330.0184631,0.066317476
329.0027161,0.06644246
327.986908,0.066604391
327.0099487,0.06673193
325.9938354,0.06706389
325.0166931,0.067344613
324.0003357,0.067674011
322.9837952,0.068017349
322.0062561,0.068291694
320.989502,0.068688877
320.0117188,0.069111705
318.9946899,0.069793835
318.0166626,0.070789173
316.9993896,0.071654648
315.9819946,0.073206693
315.0036011,0.074738204
313.9859314,0.077266246
313.0072937,0.080427401
311.9893799,0.084224015
311.010498,0.08889477
309.9923401,0.094844051
309.0132141,0.102143094
307.9948425,0.111095399
307.0155029,0.121038549
305.9968262,0.135168329
305.0172119,0.153461248
303.9983521,0.17922011
303.0185242,0.211459383
301.9993896,0.249853045
301.0193176,0.300012618
299.9999084,0.367323995
299.0196228,0.449378163
298.0000305,0.542313159
297.0195007,0.623177528
295.9996338,0.71501106
295.0188904,0.801075339
293.9988098,0.873098612
293.0178223,0.934279442
291.997467,0.996875703
291.0162964,1.063871503
289.9957581,1.137763858
289.0143127,1.223314881
287.9935303,1.294540763
287.0118713,1.350218058
285.9908752,1.399659991
285.0090027,1.43648982
283.9877319,1.461329341
283.0056458,1.470587373
281.9841614,1.471070528
281.0018311,1.463040948
280.0194397,1.450437069
278.9976501,1.433944225
278.0150146,1.419363618
276.9929504,1.40134871
276.0101318,1.378377438
274.9878845,1.347213745
274.0048218,1.309350371
272.9823608,1.27144289
271.999115,1.231229186
271.0157166,1.194621205
269.9929504,1.14310658
269.0093994,1.094512939
267.9863586,1.051009893
267.0025635,1.009135365
266.0187073,0.964739621
264.9953918,0.91209805
264.0112915,0.862775743
262.9877319,0.821861625
262.0034485,0.780795276
261.0190735,0.734805107
259.9951782,0.699317634
259.0106201,0.663419068
257.9865723,0.627389371
257.00177,0.598244071
256.0169067,0.56830436
254.9925232,0.540752471
254.007431,0.521218717
252.9828796,0.509038746
251.9976196,0.505067885
251.0122223,0.511042416
249.9873505,0.540874362
249.0018158,0.595623493
248.0161438,0.678875208
246.9909821,0.787769795
246.0051422,0.926205039
245.0191956,1.031798959
243.9937134,1.033898592
243.0076141,1.016593337
241.9819641,1.016363025
240.9956512,1.045677304
240.0092621,1.08692646
238.9832916,1.117600203
237.9966888,1.131713629
237.010025,1.133499861
235.9837952,1.117486238
234.9969177,1.082542419
234.0099792,1.042311072
232.9834747,1.000770092
231.9963379,0.950053394
231.00914,0.906033874
229.9823303,0.836848497
228.9949188,0.797348917
228.0074615,0.748889923
226.9804077,0.664516866
225.9927673,0.595909417
225.0050201,0.523515463
224.0171967,0.412432641
222.9897614,0.331293732
222.00177,0.339316994
221.0136871,0.275074124
219.9860229,0.410139084
218.9977722,0.267466366
218.0094452,0.273524702
216.9814911,0.265778154
215.9929962,0.200624615
215.0043945,0.291248441
214.0157471,0.288072825
212.9874573,0.185891539
211.9986572,0.306471586
211.0097198,0.220284417
209.9811859,0.115564749
208.9921112,0.073137306
208.0029755,0.238660365
207.0137634,0.107553609
205.9848785,0.108605892
204.9954834,0.16566737
204.0060425,0.078211427
203.01651,0.238035157
201.9873047,0.164778277
200.9976196,0.093953304
200.007843,0.130452544
